ID,Heating SP,Cooling SP,Blind 1,Blind 2,Window 1,Window 2
617,19,22,1,0,0,1
618,19,23,1,0,0,1
619,19,24,1,0,0,1
620,19,25,1,0,0,1
621,19,26,1,0,0,1
622,19,27,1,0,0,1
623,19,28,1,0,0,1
624,20,21,1,0,0,1
625,20,22,1,0,0,1
626,20,23,1,0,0,1
627,20,24,1,0,0,1
628,20,25,1,0,0,1
629,20,26,1,0,0,1
630,20,27,1,0,0,1
631,20,28,1,0,0,1
632,21,22,1,0,0,1
633,21,23,1,0,0,1
634,21,24,1,0,0,1
635,21,25,1,0,0,1
636,21,26,1,0,0,1
637,21,27,1,0,0,1
638,21,28,1,0,0,1
639,22,23,1,0,0,1
640,22,24,1,0,0,1
641,22,25,1,0,0,1
642,22,26,1,0,0,1
643,22,27,1,0,0,1
644,22,28,1,0,0,1
645,23,24,1,0,0,1
646,23,25,1,0,0,1
647,23,26,1,0,0,1
648,23,27,1,0,0,1
649,23,28,1,0,0,1
650,24,25,1,0,0,1
651,24,26,1,0,0,1
652,24,27,1,0,0,1
653,24,28,1,0,0,1
654,25,26,1,0,0,1
655,25,27,1,0,0,1
656,25,28,1,0,0,1
657,26,27,1,0,0,1
658,26,28,1,0,0,1
659,27,28,1,0,0,1
660,17,18,1,0,1,0
661,17,19,1,0,1,0
662,17,20,1,0,1,0
663,17,21,1,0,1,0
664,17,22,1,0,1,0
665,17,23,1,0,1,0
666,17,24,1,0,1,0
667,17,25,1,0,1,0
668,17,26,1,0,1,0
669,17,27,1,0,1,0
670,17,28,1,0,1,0
671,18,19,1,0,1,0
672,18,20,1,0,1,0
673,18,21,1,0,1,0
674,18,22,1,0,1,0
675,18,23,1,0,1,0
676,18,24,1,0,1,0
677,18,25,1,0,1,0
678,18,26,1,0,1,0
679,18,27,1,0,1,0
680,18,28,1,0,1,0
681,19,20,1,0,1,0
682,19,21,1,0,1,0
683,19,22,1,0,1,0
684,19,23,1,0,1,0
685,19,24,1,0,1,0
686,19,25,1,0,1,0
687,19,26,1,0,1,0
688,19,27,1,0,1,0
689,19,28,1,0,1,0
690,20,21,1,0,1,0
691,20,22,1,0,1,0
692,20,23,1,0,1,0
693,20,24,1,0,1,0
694,20,25,1,0,1,0
695,20,26,1,0,1,0
696,20,27,1,0,1,0
697,20,28,1,0,1,0
698,21,22,1,0,1,0
699,21,23,1,0,1,0
700,21,24,1,0,1,0
701,21,25,1,0,1,0
702,21,26,1,0,1,0
703,21,27,1,0,1,0
704,21,28,1,0,1,0
705,22,23,1,0,1,0
706,22,24,1,0,1,0
707,22,25,1,0,1,0
708,22,26,1,0,1,0
709,22,27,1,0,1,0
710,22,28,1,0,1,0
711,23,24,1,0,1,0
712,23,25,1,0,1,0
713,23,26,1,0,1,0
714,23,27,1,0,1,0
715,23,28,1,0,1,0
716,24,25,1,0,1,0
717,24,26,1,0,1,0
718,24,27,1,0,1,0
719,24,28,1,0,1,0
720,25,26,1,0,1,0
721,25,27,1,0,1,0
722,25,28,1,0,1,0
723,26,27,1,0,1,0
724,26,28,1,0,1,0
725,27,28,1,0,1,0
726,17,18,1,0,1,1
727,17,19,1,0,1,1
728,17,20,1,0,1,1
729,17,21,1,0,1,1
730,17,22,1,0,1,1
731,17,23,1,0,1,1
732,17,24,1,0,1,1
733,17,25,1,0,1,1
734,17,26,1,0,1,1
735,17,27,1,0,1,1
736,17,28,1,0,1,1
737,18,19,1,0,1,1
738,18,20,1,0,1,1
739,18,21,1,0,1,1
740,18,22,1,0,1,1
741,18,23,1,0,1,1
742,18,24,1,0,1,1
743,18,25,1,0,1,1
744,18,26,1,0,1,1
745,18,27,1,0,1,1
746,18,28,1,0,1,1
747,19,20,1,0,1,1
748,19,21,1,0,1,1
749,19,22,1,0,1,1
750,19,23,1,0,1,1
751,19,24,1,0,1,1
752,19,25,1,0,1,1
753,19,26,1,0,1,1
754,19,27,1,0,1,1
755,19,28,1,0,1,1
756,20,21,1,0,1,1
757,20,22,1,0,1,1
758,20,23,1,0,1,1
759,20,24,1,0,1,1
760,20,25,1,0,1,1
761,20,26,1,0,1,1
762,20,27,1,0,1,1
763,20,28,1,0,1,1
764,21,22,1,0,1,1
765,21,23,1,0,1,1
766,21,24,1,0,1,1
767,21,25,1,0,1,1
768,21,26,1,0,1,1
769,21,27,1,0,1,1
770,21,28,1,0,1,1
771,22,23,1,0,1,1
772,22,24,1,0,1,1
773,22,25,1,0,1,1
774,22,26,1,0,1,1
775,22,27,1,0,1,1
776,22,28,1,0,1,1
777,23,24,1,0,1,1
778,23,25,1,0,1,1
779,23,26,1,0,1,1
780,23,27,1,0,1,1
781,23,28,1,0,1,1
782,24,25,1,0,1,1
783,24,26,1,0,1,1
784,24,27,1,0,1,1
785,24,28,1,0,1,1
786,25,26,1,0,1,1
787,25,27,1,0,1,1
788,25,28,1,0,1,1
789,26,27,1,0,1,1
790,26,28,1,0,1,1
791,27,28,1,0,1,1
792,17,18,1,1,0,0
793,17,19,1,1,0,0
794,17,20,1,1,0,0
795,17,21,1,1,0,0
796,17,22,1,1,0,0
797,17,23,1,1,0,0
798,17,24,1,1,0,0
799,17,25,1,1,0,0
800,17,26,1,1,0,0
801,17,27,1,1,0,0
802,17,28,1,1,0,0
803,18,19,1,1,0,0
804,18,20,1,1,0,0
805,18,21,1,1,0,0
806,18,22,1,1,0,0
807,18,23,1,1,0,0
808,18,24,1,1,0,0
809,18,25,1,1,0,0
810,18,26,1,1,0,0
811,18,27,1,1,0,0
812,18,28,1,1,0,0
813,19,20,1,1,0,0
814,19,21,1,1,0,0
815,19,22,1,1,0,0
816,19,23,1,1,0,0
817,19,24,1,1,0,0
818,19,25,1,1,0,0
819,19,26,1,1,0,0
820,19,27,1,1,0,0
821,19,28,1,1,0,0
822,20,21,1,1,0,0
823,20,22,1,1,0,0
824,20,23,1,1,0,0
825,20,24,1,1,0,0
826,20,25,1,1,0,0
827,20,26,1,1,0,0
828,20,27,1,1,0,0
829,20,28,1,1,0,0
830,21,22,1,1,0,0
831,21,23,1,1,0,0
832,21,24,1,1,0,0
833,21,25,1,1,0,0
834,21,26,1,1,0,0
835,21,27,1,1,0,0
836,21,28,1,1,0,0
837,22,23,1,1,0,0
838,22,24,1,1,0,0
839,22,25,1,1,0,0
840,22,26,1,1,0,0
841,22,27,1,1,0,0
842,22,28,1,1,0,0
843,23,24,1,1,0,0
844,23,25,1,1,0,0
845,23,26,1,1,0,0
